;"Player";"Investment";"Pot";"Return";"Endowment_Inferred";"Subject";"Delta",
796;119;4;16;3;20;"RAS_008";0,46
806;54;7;28;8;20;"RAS_008";0,46
816;63;2;8;2;5;"RAS_008";0,46
826;59;9;36;8;50;"RAS_008";0,46
836;105;10;40;5;50;"RAS_008";0,46
846;94;4;16;4;10;"RAS_008";0,46
856;77;10;40;7;50;"RAS_008";0,46
866;96;5;20;5;20;"RAS_008";0,46
876;52;5;20;5;20;"RAS_008";0,46
886;89;7;28;7;20;"RAS_008";0,46
896;86;2;8;2;5;"RAS_008";0,46
906;107;8;32;4;50;"RAS_008";0,46
916;50;5;20;4;20;"RAS_008";0,46
926;84;2;8;2;5;"RAS_008";0,46
936;42;2;8;2;5;"RAS_008";0,46
946;71;2;8;2;5;"RAS_008";0,46
956;58;2;8;2;5;"RAS_008";0,46
966;83;5;20;4;20;"RAS_008";0,46
976;62;8;32;8;20;"RAS_008";0,46
986;118;2;8;2;5;"RAS_008";0,46
996;120;2;8;2;5;"RAS_008";0,46
1006;100;8;32;2;50;"RAS_008";0,46
1016;55;8;32;6;50;"RAS_008";0,46
1026;108;2;8;2;5;"RAS_008";0,46
1036;117;2;8;2;5;"RAS_008";0,46
1046;51;10;40;0;50;"RAS_008";0,46
1056;115;8;32;4;50;"RAS_008";0,46
1066;116;5;20;6;10;"RAS_008";0,46
1076;95;8;32;5;50;"RAS_008";0,46
1086;92;2;8;2;5;"RAS_008";0,46
1096;65;2;8;2;5;"RAS_008";0,46
1106;64;5;20;2;20;"RAS_008";0,46
1116;98;2;8;2;5;"RAS_008";0,46
1126;103;8;32;2;50;"RAS_008";0,46
1136;61;8;32;8;20;"RAS_008";0,46
1146;56;9;36;4;50;"RAS_008";0,46
1156;102;2;8;1;10;"RAS_008";0,46
1166;87;9;36;3;50;"RAS_008";0,46
1176;68;4;16;5;10;"RAS_008";0,46
1186;48;9;36;6;50;"RAS_008";0,46
1196;53;5;20;3;20;"RAS_008";0,46
1206;67;4;16;1;20;"RAS_008";0,46
417;64;5;20;7;5;"RAS_009";0,35
427;65;2;8;3;2;"RAS_009";0,35
437;88;5;20;5;10;"RAS_009";0,35
447;98;2;8;3;2;"RAS_009";0,35
457;56;9;36;1;50;"RAS_009";0,35
467;61;8;32;4;20;"RAS_009";0,35
477;117;2;8;4;2;"RAS_009";0,35
487;87;9;36;6;20;"RAS_009";0,35
497;115;8;32;6;20;"RAS_009";0,35
507;79;9;36;10;10;"RAS_009";0,35
517;72;10;40;10;20;"RAS_009";0,35
527;97;10;40;10;20;"RAS_009";0,35
537;57;4;16;3;10;"RAS_009";0,35
547;100;8;32;5;20;"RAS_009";0,35
557;77;10;40;5;20;"RAS_009";0,35
567;86;2;8;1;5;"RAS_009";0,35
577;63;2;8;2;5;"RAS_009";0,35
587;50;5;20;5;10;"RAS_009";0,35
597;103;8;32;5;20;"RAS_009";0,35
607;113;7;28;5;20;"RAS_009";0,35
617;89;7;28;3;20;"RAS_009";0,35
627;92;2;8;1;5;"RAS_009";0,35
