,Subject,trust_group,RR,Investment
461,RAS_016,mid,0.5,1
462,RAS_016,low,0.285714285714286,7
463,RAS_016,hi,0.3125,4
464,RAS_016,mid,0.25,5
465,RAS_016,mid,0.375,10
466,RAS_016,low,0.25,9
467,RAS_016,mid,0.138888888888889,9
468,RAS_016,mid,0.5,5
469,RAS_016,mid,0.25,2
470,RAS_016,low,0.1875,4
471,RAS_016,mid,0.5,5
472,RAS_016,mid,0.25,5
473,RAS_016,mid,0.25,4
474,RAS_016,mid,0.15625,8
475,RAS_016,mid,0.5,1
476,RAS_016,low,0.2,10
477,RAS_016,hi,0.5,2
478,RAS_016,hi,0.357142857142857,7
479,RAS_016,mid,0.25,2
