period,subject,triangle,chooseup,numchooseupcircle,numchooseuptri,profit,partnerout,partnerin,allocateincoin0,allocateincoin1,allocateincoin2,sumcoinsallocatedin,totalprofit,normtriup,normadults,gameunequal,n_period,n_subjects,kindergarten,female,S_ID,I_ID
1,7,1,1,5,4,0,3,,,,,,0,1,0,1,13,10,0,0,36,3607
6,5,1,0,27,9,1,1,,,,,,5,0,0,0,13,10,0,1,89,1.10e+09
5,8,1,1,13,15,2,4,,,,,,4,0,1,1,13,10,1,0,20,2008
10,7,1,0,25,7,0,3,,,,,,5,0,0,0,13,8,1,0,21,2107
11,8,1,0,33,27,1,3,,,,,,6,1,0,1,13,10,1,1,92,8.08e+08
11,6,1,1,50,8,0,1,,,,,,7,0,1,0,13,10,1,1,24,2406
4,4,1,1,5,8,0,1,,,,,,1,1,0,0,13,8,1,1,85,1.50e+09
12,6,1,1,22,41,1,3,,,,,,5,1,0,0,13,10,0,1,47,4706
5,7,1,1,14,14,2,2,,,,,,5,0,1,1,13,10,0,0,9,907
12,6,1,1,40,39,0,4,,,,,,10,1,1,1,13,10,0,1,8,806
9,5,1,1,23,28,0,0,,,,,,8,1,0,1,13,10,1,0,46,4605
1,7,1,1,2,3,2,1,,,,,,2,1,0,1,13,10,0,1,94,6.07e+08
9,5,1,0,40,6,1,3,,,,,,8,0,1,0,13,10,1,0,24,2405
10,7,1,1,2,48,1,1,,,,,,10,1,0,0,13,10,0,1,86,1.41e+09
7,7,1,0,22,21,1,0,,,,,,4,1,1,1,13,10,0,0,8,807
11,8,1,1,29,36,2,1,,,,,,12,0,1,1,13,10,1,0,20,2008
3,7,1,1,7,9,2,3,,,,,,2,0,1,1,13,10,1,1,20,2007
1,7,1,1,4,4,0,0,,,,,,0,0,0,1,13,10,1,0,44,4407
12,8,1,0,18,37,0,0,,,,,,6,1,1,0,13,10,1,0,19,1908
2,5,1,0,4,6,1,4,,,,,,2,1,1,0,13,10,1,0,19,1905
6,5,1,0,17,13,1,1,,,,,,7,1,1,1,13,10,1,0,26,2605
6,9,1,1,3,27,1,4,,,,,,5,1,1,0,13,10,0,1,30,3009
7,5,1,0,31,2,1,0,,,,,,6,0,1,0,13,10,0,1,15,1505
